FIPS,GeoLevel,NAME,Qualified Area Name,"SE Murder Index (100=Median, 0-200)",Total Population,"SE Robbery Index (100=Median, 0-200)",Total Population,"SE Burglary Index (100=Median, 0-200)",Total Population,"SE Violent Crime Index (100=Median, 0-200)",Total Population,"SE Property Crime Index (100=Median, 0-200)",Total Population,"SE Total Crime Index (100=Median, 0-200)",Total Population,"SE Felonious Assault Index (100=Median, 0-200)",SE Felonious Assault Index: Total Population,"SE Rape and Sexual Assault Index (100=Median, 0-200)",Total Population
Geo_FIPS,_geo_level_,Geo_NAME,Geo_qname,ORG_se_MURD_index,ORG_total_population_murd,ORG_se_ROB_index,ORG_total_population_rob,ORG_se_BURG_index,ORG_total_population_burg,ORG_se_vc_index,ORG_total_population_vc,ORG_se_pc_index,ORG_total_population_pc,ORG_se_tc_index,ORG_total_population_tc,ORG_se_FA_index,ORG_total_population_fa,ORG_se_RSA_index,ORG_total_population_rsa
6057,SL050,Nevada County,"Nevada County, California",101.0620124,102452,95.54156744,102452,114.5450261,102452,121.5386928,102452,72.15587366,102452,76.40431609,102452,146.289268,102452,136.1488164,102452
6059,SL050,Orange County,"Orange County, California",114.4844359,3164063,148.7170856,3164063,130.8278143,3164063,132.0541516,3164063,128.0495749,3164063,127.1576275,3164063,126.9197432,3164063,95.95055162,3164063
6061,SL050,Placer County,"Placer County, California",110.5309221,412435,129.7817909,412435,82.29502403,412435,114.102457,412435,94.13719955,412435,94.55561309,412435,108.1838914,412435,121.4960743,412435
6063,SL050,Plumas County,"Plumas County, California",44.48165883,19607,84.03446912,19607,49.1235452,19607,32.00821794,19607,18.16549466,19607,18.23982361,19607,27.57529601,19607,41.19968695,19607
6065,SL050,Riverside County,"Riverside County, California",130.7722732,2449909,144.1526201,2449909,130.0376164,2449909,127.1609681,2449909,125.892365,2449909,124.6588385,2449909,121.4144457,2449909,97.76741759,2449909
6067,SL050,Sacramento County,"Sacramento County, California",128.9251121,1584047,166.7755047,1584047,147.8461008,1584047,153.100937,1584047,133.5950158,1584047,135.1016386,1584047,141.4092282,1584047,113.3879207,1584047
6069,SL050,San Benito County,"San Benito County, California",134.3891745,66056,124.3673789,66056,58.16748155,66056,123.9898779,66056,74.66802519,66056,78.9999833,66056,137.7165891,66056,114.7579335,66056
6071,SL050,San Bernardino County,"San Bernardino County, California",151.906489,2187816,163.214986,2187816,145.6875731,2187816,157.6684094,2187816,134.5521054,2187816,136.7051396,2187816,159.2160295,2187816,127.0880494,2187816
6073,SL050,San Diego County,"San Diego County, California",118.1265831,3282782,148.5588777,3282782,109.0801222,3282782,135.5751725,3282782,106.4256961,3282782,108.5494997,3282782,139.6192913,3282782,76.56167162,3282782
6075,SL050,San Francisco County,"San Francisco County, California",151.7794178,836321,192.5617053,836321,183.4193098,836321,183.3870618,836321,180.1374668,836321,180.5249795,836321,21.55413991,836321,118.5532395,836321
